ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"169.239.221.89","elite","AS328471","ZA","Herotel","298","N/A","1080","socks4","4396","1","2023-06-12T16:28:07.235Z","98","2181","2226"
"103.239.200.226","elite","AS17970","PH","Sky Cable Corporation","195","TRI PH","1337","socks4","5093","1","2023-06-12T16:28:07.438Z","97","2157","2213"
"103.121.215.34","elite","AS58495","ID","PT Parsaoran Global Datatrans","182","PT. DUTA EMPAT SAUDARA","40927","socks4","4897","1","2023-06-12T16:28:05.744Z","99","2213","2234"
"82.165.137.115","elite","AS8560","DE","IONOS","9","N/A","7061","socks5","4894","1","2023-06-12T16:28:05.744Z","100","2231","2233"
"103.23.100.1","elite","AS58400","ID","Universitas Negeri Semarang, y","284","UNNES","4145","socks4","4708","1","2023-06-12T16:28:05.745Z","100","2229","2233"
"75.119.203.49","elite","AS26347","US","New Dream Network, LLC","182","New Dream Network, LLC","32238","socks4","4400","1","2023-06-12T16:28:05.745Z","100","2210","2211"
"38.127.179.211","elite","AS174","US","Cogent Communications","81","Torlandia Trading SRL","46656","socks4","4584","1","2023-06-12T16:28:05.947Z","100","2167","2168"
"103.47.93.236","elite","AS134058","IN","Broban Internet Services Pvt.ltd","152","Broban  PVT Ltd.","1080","socks4","4913","1","2023-06-12T16:28:04.236Z","99","2158","2175"
"137.184.102.16","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","18240","socks5","5099","1","2023-06-12T16:28:04.346Z","88","1914","2184"
"180.183.204.143","elite","AS45629","TH","Triple T Broadband Public Company Limited","200","Triple T Broadband Public Company Limited","8080","socks4","4696","2","2023-06-12T16:28:04.237Z","89","1959","2210"
"104.16.108.42","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","4297","1","2023-06-12T16:28:04.338Z","100","2132","2133"
"191.7.213.71","elite","AS263327","BR","HTM Serviços de Telecomunicações EIRELI","191","HTM SERVICOS DE TELECOMUNICACOES LTDA","31576","socks4","4702","1","2023-06-12T16:28:04.237Z","100","2144","2149"
"201.148.125.203","elite","AS61844","BR","Path Telecom S.A.","216","Path Telecom S.A","4145","socks4","5009","1","2023-06-12T16:28:04.340Z","100","2171","2181"
"81.150.169.217","elite","AS2856","GB","BT Public Internet Service","21","N/A","5678","socks4","3799","1","2023-06-12T16:28:04.238Z","100","2195","2204"
"46.23.155.18","elite","AS43314","RU","DIANET address","105","N/A","62638","socks4","4798","1","2023-06-12T16:28:04.339Z","91","2023","2229"
"105.27.143.174","elite","AS37100","ZA","SEACOM Limited Networks","163","N/A","4153","socks4","5103","1","2023-06-12T16:28:02.049Z","99","2163","2195"
"162.12.217.70","elite","AS204902","FR","Weelax","109","XIWO","3629","socks4","5108","1","2023-06-12T16:28:02.051Z","98","2157","2194"
"41.60.234.235","elite","AS30844","KE","Maintainer Liquid Telecommunications Operations Limited","199","Liquid Telecommunications Operations Limited","5678","socks4","4996","1","2023-06-12T16:28:02.147Z","83","1763","2135"
"192.12.113.254","elite","AS61942","BR","Turbonet Telecom Ltda","283","Turbonet Telecom Ltda","4145","socks4","5302","1","2023-06-12T16:28:02.051Z","30","653","2167"
"170.254.255.240","elite","AS52584","BR","Connect Fibra","222","Connect Fibra","45816","socks4","5096","1","2023-06-12T16:28:02.050Z","98","2155","2200"
"110.77.171.70","elite","AS131090","TH","CAT-BB","203","N/A","8080","socks4","4493","3","2023-06-12T16:28:02.050Z","66","1388","2110"
"45.13.59.103","elite","AS51167","DE","Contabo GmbH","15","Contabo GmbH","1080","socks5","5011","2","2023-06-12T16:28:02.235Z","100","2220","2225"
"143.202.227.51","elite","AS262346","BR","FP Telecomunicacoes Ltda","207","FP Telecomunicacoes Ltda","4145","socks4","5004","1","2023-06-12T16:28:00.442Z","79","1693","2134"
"103.83.36.1","elite","AS136171","US","Medha Hosting","108","Medhahosting in","5678","socks4","5107","1","2023-06-12T16:28:00.333Z","100","2227","2228"
"104.18.166.99","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4597","1","2023-06-12T16:28:00.441Z","100","2161","2162"
"31.13.33.4","elite","AS8732","RU","JSC Comcor","84","Comcor","8080","socks5","5098","83","2023-06-12T16:28:00.334Z","100","2141","2142"
"38.127.172.219","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","55994","socks5","5092","1","2023-06-12T16:27:59.035Z","100","2147","2150"
"89.237.35.10","elite","AS20485","RU","multi-origin SUTTK","78","N/A","51549","socks4","5192","1","2023-06-12T16:27:58.934Z","99","2204","2218"
"218.1.200.18","elite","AS4812","CN","China Telecom","194","N/A","57114","socks5","4992","1","2023-06-12T16:27:58.952Z","35","751","2176"
"170.254.255.239","elite","AS52584","BR","Connect Fibra","293","Connect Fibra","45816","socks4","3293","1","2023-06-12T16:27:58.935Z","98","2166","2210"
"103.228.246.129","elite","AS59282","ID","Giga Patra Multimedia","202","N/A","5678","socks4","4913","2","2023-06-12T16:27:58.951Z","99","2148","2177"
"203.112.134.74","elite","AS140641","IN","Yotta Network Services Private Limited","190","Yotta Network Services Private Limited","5678","socks4","4600","1","2023-06-12T16:27:58.935Z","100","2232","2234"
"143.198.167.240","elite","AS14061","US","DigitalOcean, LLC","82","DigitalOcean, LLC","80","socks4","5007","1","2023-06-12T16:27:57.536Z","99","2216","2228"
"177.38.182.166","elite","AS52971","BR","Micks Telecom Eireli","293","Prefeitura Municipal de Guanambi","5678","socks4","5090","2","2023-06-12T16:27:57.534Z","99","2178","2191"
"54.36.183.52","elite","AS16276","FR","OVH SAS","6","OVH","9173","socks5","4885","1","2023-06-12T16:27:57.537Z","88","1860","2107"
"58.48.122.170","elite","AS4134","CN","Chinanet","283","Chinanet HB","7302","socks5","4195","2","2023-06-12T16:27:57.441Z","75","1645","2196"
"8.210.206.32","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","294","Alibaba.com Singapore E-Commerce Private Limited","47161","socks5","3397","83","2023-06-12T16:27:57.442Z","99","2178","2205"
"88.20.124.158","elite","AS3352","ES","Telefonica de Espana SAU","84","RIMA (Red IP Multi Acceso)","4145","socks4","4797","1","2023-06-12T16:27:57.337Z","91","1983","2169"
"81.46.202.112","elite","AS16371","ES","acens Technologies","96","ACENS-TELEFONICA","8080","socks4","5099","1","2023-06-12T16:27:57.338Z","100","2165","2166"
"14.232.161.29","elite","AS45899","VN","VNPT","296","Vietnam Posts and Telecommunications Group","10801","socks4","5098","1","2023-06-12T16:27:57.533Z","35","781","2232"
"51.68.93.11","elite","AS16276","FR","OVH SAS","88","OVH","46979","socks5","3091","1","2023-06-12T16:27:57.537Z","100","2136","2136"
"106.3.142.85","elite","AS4808","CN","IDC, China Telecommunications Corporation","298","Beijing capitalonline data service co., LTD","4153","socks4","5098","1","2023-06-12T16:27:57.443Z","75","1667","2234"
"89.41.106.8","elite","AS8926","MD","JSC \"Moldtelecom\" S.A","50","JSC Moldtelecom S.A.","4145","socks4","4413","1","2023-06-12T16:27:57.335Z","99","2130","2152"
"103.47.94.97","elite","AS134058","IN","Broban Internet Services Pvt.ltd","185","Broban  PVT Ltd.","1080","socks4","4902","2","2023-06-12T16:27:57.337Z","99","2200","2217"
"45.137.155.126","elite","AS44477","UA","Stark Industries Solutions LTD","95","Stark Industries Solutions LTD","12345","socks4","4890","1","2023-06-12T16:27:55.744Z","53","1145","2151"
"89.58.44.48","elite","AS197540","DE","netcup GmbH","87","netcup GmbH","47287","socks4","4795","1","2023-06-12T16:27:55.743Z","100","2214","2218"
"14.207.206.223","elite","AS45629","TH","Triple T Broadband Public Company Limited","288","Triple T Broadband Public Company Limited","8080","socks4","5108","1","2023-06-12T16:27:55.635Z","95","2075","2175"
"139.180.144.210","elite","AS20473","SG","Choopa","195","N/A","50697","socks4","4800","1","2023-06-12T16:27:55.744Z","100","2226","2232"
"103.66.232.5","elite","AS134014","IN","NET 4 U SERVICES","202","N/A","4145","socks4","4897","1","2023-06-12T16:27:55.634Z","99","2167","2184"
"5.2.77.207","elite","AS60404","NL","The Infrastructure Group B.V.","12","TIG","9050","socks4","5085","1","2023-06-12T16:27:55.743Z","100","2212","2214"
"202.44.228.36","elite","AS4618","TH","Internet Thailand Company Ltd.","193","Internet Thailand Company Limited","4153","socks4","4606","86","2023-06-12T16:27:54.149Z","52","1137","2172"
"175.101.18.21","elite","AS17754","IN","ExcellMedia Pvt Ltd","214","Excell Media Pvt Ltd","5678","socks4","4696","1","2023-06-12T16:27:54.148Z","99","2215","2228"
"116.202.100.234","elite","AS24940","DE","Hetzner","23","N/A","37435","socks4","4803","1","2023-06-12T16:27:54.032Z","100","2217","2217"
"45.7.177.179","elite","AS266626","BR","Litoral Telecom","176","Litoral Telecom","39867","socks4","4690","1","2023-06-12T16:27:54.033Z","98","2168","2217"
"92.53.90.84","elite","AS49505","RU","OOO \"Network of data-centers \"Selectel\"","46","Selectel Ltd.","4763","socks5","5010","1","2023-06-12T16:27:52.744Z","99","2199","2231"
"220.247.174.42","elite","AS9341","ID","PT Indonesia Comnets Plus","230","Iconpln","5678","socks4","4813","2","2023-06-12T16:27:52.738Z","96","2149","2232"
"27.159.189.12","elite","AS4134","CN","Chinanet","286","Chinanet FJ","8004","socks4","4500","1","2023-06-12T16:27:51.051Z","68","1488","2200"
"82.117.252.143","elite","AS204957","US","Green Floid LLC","192","Green Floid LLC","16701","socks5","4590","2","2023-06-12T16:27:51.050Z","99","2215","2228"
"51.89.3.130","elite","AS16276","GB","OVH SAS","88","OVH BE","30444","socks4","4903","1","2023-06-12T16:27:51.059Z","100","2113","2113"
"164.132.68.216","elite","AS16276","FR","OVH SAS","9","EL Zayat Hadi","8888","socks4","4687","83","2023-06-12T16:27:51.058Z","100","2230","2235"
"197.234.13.93","elite","AS36902","SC","Intelvision","190","Intelvision Ltd","4145","socks4","5007","1","2023-06-12T16:27:50.846Z","99","2142","2157"
"177.128.44.129","elite","AS262605","BR","BRASIL TECNOLOGIA E PARTICIPACOES S/A","213","BRASIL TECNOLOGIA E PARTICIPACOES S/A","31337","socks4","4606","1","2023-06-12T16:27:50.843Z","100","2215","2217"
"103.36.35.249","elite","AS131111","ID","PT Mora Telematika Indonesia","202","PT Tunas Sukses Mandiri","5678","socks4","3207","1","2023-06-12T16:27:50.843Z","100","2217","2226"
"185.103.14.155","elite","AS25281","LB","MTM s.a.r.l","69","MTM","4153","socks4","4701","1","2023-06-12T16:27:50.846Z","41","907","2230"
"170.81.108.46","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","292","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","4192","1","2023-06-12T16:27:49.434Z","100","2154","2160"
"45.7.177.241","elite","AS266626","BR","Litoral Telecom","187","Litoral Telecom","39867","socks4","4803","1","2023-06-12T16:27:49.435Z","99","2192","2210"
"109.73.189.7","elite","AS49924","IT","ECROM-MAIN","83","N/A","5678","socks4","4589","1","2023-06-12T16:27:47.840Z","69","1532","2216"
"158.58.133.38","elite","AS47586","RU","Dmitriy V. Kozmenko","85","Business-Svyaz TM","5678","socks4","5095","1","2023-06-12T16:27:46.041Z","96","2139","2232"
"209.145.51.228","elite","AS40021","US","Nubes, LLC","109","Contabo Inc","46438","socks4","4599","1","2023-06-12T16:27:46.039Z","90","1916","2132"
"166.62.52.254","elite","AS26496","US","GoDaddy.com, LLC","148","GoDaddy.com, LLC","5138","socks4","4903","1","2023-06-12T16:27:46.039Z","98","2111","2156"
"46.227.38.1","elite","AS51155","PL","TB Telecom Sp. z o. o.","92","Telemedian","1088","socks4","5006","1","2023-06-12T16:27:45.940Z","100","2227","2233"
"197.254.7.86","elite","AS15808","KE","ACCESSKENYA","139","N/A","4145","socks4","3903","1","2023-06-12T16:27:45.938Z","95","2105","2225"
"70.90.67.141","elite","AS7922","US","Comcast Cable Communications, LLC","187","Comcast Cable Communications, LLC","54321","socks4","4701","1","2023-06-12T16:27:45.937Z","98","2182","2227"
"172.104.56.209","elite","AS63949","SG","Akamai Technologies","194","Linode","9050","socks5","1898","1","2023-06-12T16:27:45.941Z","100","2201","2210"
"177.12.176.250","elite","AS263033","BR","Linxbr Telecomunicacoes Ltda","194","Linkli Telecomunicacoes Ltda","4153","socks4","4899","1","2023-06-12T16:27:45.938Z","100","2194","2200"
"184.95.235.194","elite","AS22652","CA","Fibrenoire Inc","90","Videotron Telecom Ltee","1080","socks5","4606","3","2023-06-12T16:27:45.940Z","100","2183","2183"
"187.44.1.248","elite","AS28202","BR","Rede Brasileira de Comunicacao S/A","284","Rede Brasileira de Comunicacao S/A","5678","socks4","4411","1","2023-06-12T16:27:43.332Z","66","1480","2234"
"69.163.162.211","elite","AS26347","US","New Dream Network, LLC","197","New Dream Network, LLC","46007","socks4","4593","1","2023-06-12T16:27:43.334Z","100","2166","2166"
"31.206.38.49","elite","AS15924","TR","Vodafone NET Iletisim Hizmetleri Anonim Sirketi","68","Vfnet Data Support","37630","socks4","5093","97","2023-06-12T16:27:43.740Z","100","2202","2211"
"46.227.37.21","elite","AS51155","PL","Telemedian - TB Telecom","90","Telemedian","1088","socks4","5192","1","2023-06-12T16:27:43.249Z","100","2224","2232"
"34.64.4.104","elite","AS139070","KR","Google Asia Pacific Pte. Ltd.","299","Google LLC","80","socks4","5087","1","2023-06-12T16:27:43.333Z","100","2107","2107"
"43.153.52.192","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","166","Tencent Cloud Computing","443","socks4","4806","1","2023-06-12T16:27:43.732Z","51","1113","2185"
"95.140.124.173","elite","AS9125","RS","Drustvo za telekomunikacije Orion telekom doo Beograd, Gandijeva 76a","37","Orion Telekom Network","1080","socks4","3700","1","2023-06-12T16:27:43.637Z","100","2218","2221"
"185.216.18.138","elite","AS205500","RU","Mega Tec LLC","188","Mega Tec LLC","44550","socks4","3902","1","2023-06-12T16:27:43.248Z","100","1","1"
"181.129.186.130","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","156","EPM Telecomunicaciones S.A. E.S.P","5678","socks5","5096","1","2023-06-12T16:27:43.738Z","98","2123","2158"
"45.76.144.30","elite","AS20473","SG","The Constant Company","197","Vultr Holdings, LLC","41086","socks4","4900","1","2023-06-12T16:27:43.247Z","77","1729","2234"
"178.134.71.138","elite","AS35805","GE","JSC \"Silknet\"","82","Silknet - 6","37590","socks4","4399","90","2023-06-12T16:27:43.740Z","98","2200","2238"
"89.31.143.12","elite","AS15598","DE","United Domains via IP Exchange GmbH","90","united-domains AG","80","socks4","5091","5","2023-06-12T16:27:41.732Z","100","2126","2126"
"103.47.253.58","elite","AS133918","MY","Suria Data Centre Sdn. Bhd.","184","Suria Data Centre Sdn. Bhd","50550","socks5","4910","2","2023-06-12T16:27:41.733Z","100","2211","2217"
"202.40.177.94","elite","AS23991","BD","Ranks ITT","196","Ranks ITT Ltd.","5678","socks4","286","1","2023-06-12T16:27:41.540Z","99","2210","2225"
"203.6.226.172","elite","AS58519","CN","Cloud Computing Corporation","289","Chinanet GD","8888","socks4","4390","1","2023-06-12T16:27:41.539Z","55","1220","2206"
"185.61.94.65","elite","AS48166","RU","Fortex CJSC","52","N/A","43110","socks4","4690","1","2023-06-12T16:27:40.235Z","100","2215","2218"
"103.70.159.156","elite","AS133720","IN","speednet","190","N/A","5678","socks4","4899","1","2023-06-12T16:27:40.234Z","99","2193","2208"
"119.8.111.196","elite","AS136907","HK","Huawei International Pte. LTD","282","N/A","1080","socks5","3390","2","2023-06-12T16:27:40.347Z","80","1792","2236"
"177.85.205.125","elite","AS52554","BR","S. A. da Silva Junior","194","JR NET - JRCONECTA TELECOM","3629","socks4","4901","1","2023-06-12T16:27:40.233Z","100","2209","2210"
"177.104.192.122","elite","AS262632","BR","Grajaunet Telecomunicacoes Eireli","198","Grajaunet Telecomunicacoes Eireli","41443","socks4","4203","1","2023-06-12T16:27:40.348Z","100","2218","2221"
"104.23.126.8","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4309","1","2023-06-12T16:27:40.346Z","100","2153","2153"
"110.78.186.127","elite","AS131090","TH","CAT-BB","197","N/A","4145","socks4","5199","2","2023-06-12T16:27:40.235Z","66","1447","2205"
"202.61.251.201","elite","AS197540","DE","netcup GmbH","109","netcup GmbH","9097","socks4","4998","1","2023-06-12T16:27:40.435Z","97","2167","2245"
"190.103.240.4","elite","AS27983","AR","Red Intercable Digital S.A.","223","Ercom SRL","4153","socks4","5187","1","2023-06-12T16:27:40.234Z","84","1864","2230"
"106.110.200.3","elite","AS4134","CN","Chinanet","287","Chinanet GD","57114","socks4","4919","1","2023-06-12T16:27:40.347Z","67","1463","2168"
"41.242.90.3","elite","AS37612","GN","1st RO","198","N/A","57520","socks4","4907","1","2023-06-12T16:27:40.348Z","98","2109","2157"
"125.24.56.159","elite","AS23969","TH","TOT Public Company Limited","195","TOT Public Company Limited","4145","socks4","4890","1","2023-06-12T16:27:38.652Z","65","1371","2110"
"93.90.212.2","elite","AS44963","RU","Stavtelecom LLC","100","JSC KMVtelecom network","4153","socks4","4689","2","2023-06-12T16:27:38.539Z","100","2227","2233"
"125.141.139.60","elite","AS4766","KR","Korea Telecom","282","KORNET","5566","socks4","3895","2","2023-06-12T16:27:38.540Z","81","1798","2227"
"195.64.235.233","elite","AS50115","UA","Lekol LLC","51","N/A","4153","socks4","4988","83","2023-06-12T16:27:38.539Z","87","1935","2227"
"147.161.166.35","elite","AS62044","GB","Zscaler LON3","8","Zscaler, Inc.","10326","socks4","4902","2","2023-06-12T16:27:38.647Z","97","2077","2132"
"91.245.227.59","elite","AS48347","RU","JSC Mediasoft ekspert","97","MT FINANCE LLC","1080","socks4","4501","1","2023-06-12T16:27:38.648Z","92","1975","2136"
"70.60.230.33","elite","AS11426","US","Spectrum","99","Fastlink Communications Inc","32940","socks4","5205","1","2023-06-12T16:27:36.738Z","100","2226","2228"
"61.7.138.52","elite","AS131090","TH","CAT Telecom Public Company Limited","198","National Telecom Public Company Limited","5678","socks4","4105","1","2023-06-12T16:27:36.941Z","77","1721","2228"
"41.70.12.54","elite","AS37215","MW","Malawi Research and Education Network - MAREN","394","N/A","5678","socks4","4603","1","2023-06-12T16:27:36.738Z","85","1885","2216"
"212.83.143.223","elite","AS12876","FR","Online S.A.S.","2","ONLINE","24333","socks4","4990","1","2023-06-12T16:27:36.739Z","100","2220","2226"
"170.78.92.30","elite","AS265500","BR","Almeirim Telecom Ltda - ME","292","Rede Ultra MF Telecom","5678","socks4","4403","1","2023-06-12T16:27:36.942Z","97","2151","2228"
"95.182.78.2","elite","AS50648","UA","PE UAinet","95","PE UAinet","5678","socks4","5191","1","2023-06-12T16:27:36.739Z","99","2146","2168"
"177.72.115.65","elite","AS262558","BR","Prompt Brasil Solucoes EM TI Ltda","198","Prompt Brasil Solucoes EM TI Ltda","31164","socks4","4889","1","2023-06-12T16:27:36.737Z","99","2220","2236"
"200.49.47.210","elite","AS28226","BR","Vogel Soluções em Telecom e Informática S/A","300","Vogel Soluções em Telecom e Informática S/A","5678","socks4","4900","1","2023-06-12T16:27:36.940Z","80","1739","2163"
"170.254.255.243","elite","AS52584","BR","Connect Fibra","299","Connect Fibra","45816","socks4","4993","2","2023-06-12T16:27:35.241Z","98","2204","2240"
"186.251.255.1","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","295","Seanet Telecom Carazinho Eireli","31337","socks4","1399","1","2023-06-12T16:27:35.242Z","100","2206","2215"
"77.46.138.37","elite","AS8400","RS","TELEKOM-SRBIJA","40","N/A","33608","socks4","4609","1","2023-06-12T16:27:35.240Z","100","2224","2226"
"103.84.178.2","elite","AS136279","IN","Glo Internet Services Pvt Ltd","194","Glo  Pvt Ltd","4153","socks4","5186","1","2023-06-12T16:27:35.435Z","100","2155","2163"
"14.115.106.207","elite","AS4134","CN","Chinanet","212","Chinanet GD","3629","socks4","3593","1","2023-06-12T16:27:33.747Z","40","883","2192"
"36.67.147.222","elite","AS7713","ID","PT. Telekomunikasi Indonesia","294","N/A","4153","socks4","4701","1","2023-06-12T16:27:33.551Z","95","2107","2227"
"178.254.18.11","elite","AS42730","DE","BLU-VH","11","1blu AG","57335","socks5","4710","1","2023-06-12T16:27:33.834Z","98","2177","2214"
"172.67.206.105","elite","AS13335","US","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","5004","1","2023-06-12T16:27:33.746Z","100","2146","2148"
"172.64.80.55","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4982","1","2023-06-12T16:27:32.051Z","100","2121","2121"
"62.89.31.164","elite","AS49800","AM","GNC-Alfa CJSC","78","GNC","5678","socks4","4899","1","2023-06-12T16:27:32.136Z","99","2196","2209"
